environment_rank,environment_key,parent_key,depth,observations,winners,hit_rate_percent,parent_observations,parent_adjusted_hit_rate_percent,adjusted_hit_rate_percent,lift_vs_root_pp,lift_vs_parent_pp,can_grow,environment,conditions_json,historical_row_count,ranking_score_percent,evidence_factor
1298,spike_gap_bucket=30–40 AND spike_score_bucket=325–350 AND spread_bucket=80+ AND yellow_warning=true,spike_score_bucket=325–350 AND spread_bucket=80+ AND yellow_warning=true,4,2,0,0.0,7,51.9679,40.4195,1.1338,-11.5484,False,SpikeGap = 30–40 -> SpikeScore = 325–350 -> Spread = 80+ -> Gul varning = Ja,"[{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""30–40""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""},{""variable"":""Spread"",""column"":""spread_bucket"",""value"":""80+""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":true}]",2,39.4747,0.1667
1299,spike_score_bucket=375–400 AND spread_bucket=70–80 AND yellow_warning=false,spread_bucket=70–80 AND yellow_warning=false,3,4,1,25.0,17,43.4397,39.9274,0.6417,-3.5123,False,SpikeScore = 375–400 -> Spread = 70–80 -> Gul varning = Nej,"[{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""375–400""},{""variable"":""Spread"",""column"":""spread_bucket"",""value"":""70–80""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":false}]",4,39.4691,0.2857
1300,score_gap_bucket=20+ AND spread_bucket=<60 AND value_count_bucket=3+,score_gap_bucket=20+ AND value_count_bucket=3+,3,2,0,0.0,9,49.3309,40.3616,1.0759,-8.9693,False,ScoreGap = 20+ -> Spread = <60 -> Antal value = 3+,"[{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""20+""},{""variable"":""Spread"",""column"":""spread_bucket"",""value"":""<60""},{""variable"":""Antal value"",""column"":""value_count_bucket"",""value"":""3+""}]",2,39.465,0.1667
1301,spike_score_bucket=<300 AND spread_bucket=80+ AND yellow_warning=true,spread_bucket=80+ AND yellow_warning=true,3,3,0,0.0,49,46.0715,40.0622,0.7765,-6.0093,False,SpikeScore = <300 -> Spread = 80+ -> Gul varning = Ja,"[{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""<300""},{""variable"":""Spread"",""column"":""spread_bucket"",""value"":""80+""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":true}]",3,39.4649,0.2308
1302,spike_gap_bucket=0–10 AND spread_bucket=60–70 AND value_count_bucket=0,spread_bucket=60–70 AND value_count_bucket=0,3,3,1,33.3333,9,42.2074,39.9889,0.7032,-2.2185,False,SpikeGap = 0–10 -> Spread = 60–70 -> Antal value = 0,"[{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""0–10""},{""variable"":""Spread"",""column"":""spread_bucket"",""value"":""60–70""},{""variable"":""Antal value"",""column"":""value_count_bucket"",""value"":""0""}]",3,39.448,0.2308
1303,spike_score_bucket=300–325 AND spread_bucket=60–70 AND value_count_bucket=0,spread_bucket=60–70 AND value_count_bucket=0,3,3,1,33.3333,9,42.2074,39.9889,0.7032,-2.2185,False,SpikeScore = 300–325 -> Spread = 60–70 -> Antal value = 0,"[{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""300–325""},{""variable"":""Spread"",""column"":""spread_bucket"",""value"":""60–70""},{""variable"":""Antal value"",""column"":""value_count_bucket"",""value"":""0""}]",3,39.448,0.2308
1304,score_gap_bucket=5–10 AND spike_score_bucket=400+,spike_score_bucket=400+,2,1,0,0.0,19,43.2234,41.0622,1.7765,-2.1612,False,ScoreGap = 5–10 -> SpikeScore = 400+,"[{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""5–10""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""400+""}]",1,39.4472,0.0909
1305,score_gap_bucket=0–5 AND spike_gap_bucket=10–20 AND spike_score_bucket=325–350,score_gap_bucket=0–5 AND spike_score_bucket=325–350,3,4,1,25.0,16,43.5592,39.8474,0.5616,-3.7118,False,ScoreGap = 0–5 -> SpikeGap = 10–20 -> SpikeScore = 325–350,"[{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""0–5""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""10–20""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""}]",4,39.4462,0.2857
1306,score_gap_bucket=0–5 AND spike_score_bucket=325–350 AND value_count_bucket=1,score_gap_bucket=0–5 AND spike_score_bucket=325–350,3,4,1,25.0,16,43.5592,39.8474,0.5616,-3.7118,False,ScoreGap = 0–5 -> SpikeScore = 325–350 -> Antal value = 1,"[{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""0–5""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""},{""variable"":""Antal value"",""column"":""value_count_bucket"",""value"":""1""}]",4,39.4462,0.2857
1307,score_gap_bucket=20+ AND spike_score_bucket=300–325 AND spread_bucket=<60,score_gap_bucket=20+ AND spread_bucket=<60,3,1,0,0.0,14,43.9694,41.0381,1.7524,-2.9313,False,ScoreGap = 20+ -> SpikeScore = 300–325 -> Spread = <60,"[{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""20+""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""300–325""},{""variable"":""Spread"",""column"":""spread_bucket"",""value"":""<60""}]",1,39.445,0.0909
1308,score_gap_bucket=0–5 AND spike_score_bucket=325–350 AND spread_bucket=60–70,score_gap_bucket=0–5 AND spike_score_bucket=325–350,3,1,0,0.0,16,43.5592,40.9969,1.7112,-2.5623,False,ScoreGap = 0–5 -> SpikeScore = 325–350 -> Spread = 60–70,"[{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""0–5""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""},{""variable"":""Spread"",""column"":""spread_bucket"",""value"":""60–70""}]",1,39.4413,0.0909
1309,red_warning=false AND spike_gap_bucket=40+ AND spike_score_bucket=350–375 AND spread_bucket=<60 AND yellow_warning=true,red_warning=false AND spike_gap_bucket=40+ AND spike_score_bucket=350–375 AND spread_bucket=<60,5,2,0,0.0,11,47.4419,40.1431,0.8574,-7.2988,False,Röd varning = Nej -> SpikeGap = 40+ -> SpikeScore = 350–375 -> Spread = <60 -> Gul varning = Ja,"[{""variable"":""Röd varning"",""column"":""red_warning"",""value"":false},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""350–375""},{""variable"":""Spread"",""column"":""spread_bucket"",""value"":""<60""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":true}]",2,39.4286,0.1667
1310,race_type=Öppet lopp AND spike_gap_bucket=0–10 AND value_count_bucket=2,race_type=Öppet lopp AND spike_gap_bucket=0–10,3,3,1,33.3333,27,40.8694,39.8864,0.6007,-0.983,False,Lopptyp = Öppet lopp -> SpikeGap = 0–10 -> Antal value = 2,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""Öppet lopp""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""0–10""},{""variable"":""Antal value"",""column"":""value_count_bucket"",""value"":""2""}]",3,39.4243,0.2308
1311,score_gap_bucket=15–20 AND spike_gap_bucket=10–20,score_gap_bucket=15–20,2,2,0,0.0,25,44.127,40.1155,0.8297,-4.0115,False,ScoreGap = 15–20 -> SpikeGap = 10–20,"[{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""15–20""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""10–20""}]",2,39.424,0.1667
